Data,Accuracy,F1 Score,Precision,Recall
Trained,0.41452844248235526,0.14655764621021056,0.5411299024949209,0.25001727141324553
Test,0.41493968450355706,0.14665317896960425,0.1454068241469816,0.25000221109135484
