,variance_of_laplacian,tenengrad,high_frequency_energy_ratio,mean_local_std,glcm_contrast
mean,0.25823355197906495,0.03853681579232216,0.888091197013855,0.09570519119501114,5.438630952380952
std,0.015585677095463006,0.004260740907334313,0.004015729887214311,0.003926983044017075,0.37503106959033244
min,0.23365485668182373,0.031683988869190216,0.8784769773483276,0.08856473118066788,4.781001984126984
max,0.2864622175693512,0.04561660438776016,0.8957110047340393,0.10126921534538269,5.960813492063492
