image_path,variance_of_laplacian,tenengrad,high_frequency_energy_ratio,mean_local_std,glcm_contrast
results/Images/gan_samples/gan_00.png,0.2646816074848175,0.04561660438776016,0.8957110047340393,0.10126921534538269,5.826636904761904
results/Images/gan_samples/gan_01.png,0.24001049995422363,0.03530653566122055,0.8819324970245361,0.0919911190867424,5.096478174603175
results/Images/gan_samples/gan_02.png,0.2739105820655823,0.037031225860118866,0.8897361755371094,0.09629134833812714,5.671875
results/Images/gan_samples/gan_03.png,0.23521417379379272,0.03261921927332878,0.8784769773483276,0.08856473118066788,4.808779761904762
results/Images/gan_samples/gan_04.png,0.2664409279823303,0.041286781430244446,0.88913893699646,0.09827747941017151,5.646825396825397
results/Images/gan_samples/gan_05.png,0.25193071365356445,0.03737931326031685,0.8870560526847839,0.09438328444957733,5.085565476190476
results/Images/gan_samples/gan_06.png,0.2625623345375061,0.04258209466934204,0.8904491662979126,0.09815963357686996,5.614831349206349
results/Images/gan_samples/gan_07.png,0.2351916879415512,0.032363057136535645,0.8825218081474304,0.0896897241473198,4.781001984126984
results/Images/gan_samples/gan_08.png,0.272215336561203,0.03881792351603508,0.8883727788925171,0.09769017994403839,5.717261904761905
results/Images/gan_samples/gan_09.png,0.2498961240053177,0.03664699196815491,0.8869098424911499,0.09376852214336395,5.242311507936508
results/Images/gan_samples/gan_10.png,0.2864622175693512,0.040530428290367126,0.8929404616355896,0.0996389240026474,5.960813492063492
results/Images/gan_samples/gan_11.png,0.26846614480018616,0.04542761296033859,0.8923145532608032,0.1010604202747345,5.778273809523809
results/Images/gan_samples/gan_12.png,0.2697756290435791,0.04234683886170387,0.8887882828712463,0.09881879389286041,5.790674603174603
results/Images/gan_samples/gan_13.png,0.2714473605155945,0.04316246509552002,0.891319751739502,0.0989004522562027,5.816716269841269
results/Images/gan_samples/gan_14.png,0.2566537857055664,0.033117637038230896,0.8840927481651306,0.09198019653558731,5.216021825396825
results/Images/gan_samples/gan_15.png,0.2792559862136841,0.039989881217479706,0.8941824436187744,0.10090363025665283,5.958829365079366
results/Images/gan_samples/gan_16.png,0.2696986198425293,0.03678823634982109,0.8901339173316956,0.09645673632621765,5.605158730158729
results/Images/gan_samples/gan_17.png,0.264759361743927,0.044640325009822845,0.8893265128135681,0.09920661151409149,5.751736111111111
results/Images/gan_samples/gan_18.png,0.25735223293304443,0.03733864426612854,0.8887408375740051,0.09527688473463058,5.414434523809524
results/Images/gan_samples/gan_19.png,0.23389525711536407,0.03861425817012787,0.8869463205337524,0.09158703684806824,5.000248015873016
results/Images/gan_samples/gan_20.png,0.23365485668182373,0.031683988869190216,0.8827700614929199,0.08911317586898804,4.839037698412698
results/Images/gan_samples/gan_21.png,0.23387764394283295,0.03540216013789177,0.8868870735168457,0.09242628514766693,5.075644841269841
results/Images/gan_samples/gan_22.png,0.26880836486816406,0.04246796295046806,0.8907809853553772,0.09928493201732635,5.67733134920635
results/Images/gan_samples/gan_23.png,0.253156840801239,0.03249748796224594,0.8863429427146912,0.09199304133653641,5.181051587301587
results/Images/gan_samples/gan_24.png,0.25652050971984863,0.039762720465660095,0.8864077925682068,0.09589742124080658,5.4082341269841265
